PUMFID,VERDATE,EMP_10_A,EMP_10_B,EMP_10_C,EMP_10_D,EMP_10_E,EMP_10_F,EMP_10_G,EMP_10_H,EMP_10_I,CIN_05_A,CIN_05_B,CIN_05_C,CIN_05_D,CIN_05_E,CIN_05_F,CIN_05_G,CIN_05_H,CIN_05_I,CIN_05_J,CIN_05_K,CIN_10A,CIN_10B,CIN_10C,EXP_05A,EXP_05B,EXP_05C,EXP_05D,EXP_05E,EXP_05F,EXP_05G,EXP_05H,LTC_05_G,LTC_10,HL_05,HL_10,HL_15,HL_20,HL_25_A,HL_25_B,HL_25_C,HL_25_D,HL_25_E,HL_25_F,HL_25_G,HL_25_H,HL_25_I,HL_25_J,HL_25_K,HL_30,DIS_STAT,PRURURB,PCSIZMIZ,PPROV,PVISMIN,PDISTYP1,PDISTYP2,PDISTYP3,PDISTYP4,PDISTYP5,PDISTYP6,PAGEGR,PDEM_10,PED_05,PEMP_15B,PFACT2,PLTC_05A,PLTC_05B,PLTC_05C,PLTC_05D,PLTC_05E,PLTC_05F,PEDU_01,PHHARR,PIIDFLAG,PLFS_BEF,PLFS_CUR
1413,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,6,6,4,4,4,3,4,4,4,3,2,2,2,3,3,4,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,35,2,2,2,2,2,2,1,16,2,2,6,0.5703,2,2,2,2,2,1,2,2,2,3,3
1414,27/08/2020,1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,3,6,4,4,4,2,3,3,4,3,2,2,3,4,3,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,6,24,2,2,2,2,2,1,2,4,1,1,3,3.0869,2,2,2,2,1,2,2,3,2,1,1
1415,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,6,6,4,4,4,4,4,4,4,4,2,1,3,3,4,4,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,35,2,2,2,1,2,2,2,17,2,2,6,1.5231,2,2,1,2,2,2,2,1,2,3,3
1416,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,3,6,1,4,4,4,4,4,4,4,4,2,1,1,1,3,3,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,24,2,2,2,1,2,2,2,3,2,2,6,1.9943,2,2,1,2,2,2,2,3,2,1,1
1417,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,6,6,4,3,3,2,3,2,3,2,2,1,5,4,4,4,1,2,1,2,2,2,2,1,2,1,2,2,1,2,1,24,2,1,2,1,1,2,1,13,2,2,6,1.6273,1,2,1,1,2,1,2,1,2,3,3
1418,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,6,6,3,3,3,2,2,3,3,9,2,1,4,3,3,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,46,2,1,2,1,2,2,1,13,1,1,6,1.8364,1,2,1,2,2,1,2,1,2,3,3
1419,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,3,6,4,4,4,4,4,4,4,4,2,1,2,3,4,4,1,2,2,2,2,2,1,2,1,2,2,2,1,1,5,12,2,2,2,2,2,1,1,7,2,1,1,0.4704,2,2,2,2,1,1,9,2,2,1,1
1420,27/08/2020,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,3,6,1,2,3,4,2,4,2,2,3,2,2,3,4,4,4,1,2,2,2,2,2,1,1,2,2,2,2,2,2,4,59,2,2,2,2,2,1,1,7,2,1,6,0.451,2,2,2,2,1,1,2,2,2,1,2
1421,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,3,6,1,4,1,3,1,4,4,4,3,2,1,4,9,4,4,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,35,2,2,2,2,2,1,1,12,2,2,1,0.4558,2,2,2,2,1,1,2,2,2,1,1
1422,27/08/2020,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,6,6,4,4,4,1,1,4,1,1,2,2,4,4,4,4,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,47,2,2,2,2,2,2,1,9,2,2,3,0.5471,2,2,2,2,2,1,2,1,1,1,1
1423,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,4,6,6,4,4,4,3,4,4,2,2,2,1,3,3,3,4,2,2,2,2,2,2,2,2,2,2,1,2,1,2,3,35,2,2,2,1,2,1,1,14,2,1,6,0.6004,2,2,1,2,1,1,2,2,2,3,3
1424,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,3,6,1,1,2,3,3,3,3,9,3,2,1,4,4,4,4,1,2,2,1,2,2,2,2,2,2,2,2,1,2,1,24,2,2,2,2,1,1,2,11,1,99,6,2.8996,2,2,2,1,1,2,2,2,2,3,3
1425,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,7,9,9,2,3,3,3,4,4,3,2,2,2,3,5,4,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,59,1,2,2,2,2,1,2,3,1,2,6,1.6985,2,2,2,2,1,2,1,2,2,2,2
1426,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,6,6,4,3,4,1,1,2,3,3,2,1,4,3,3,3,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,59,2,1,1,2,2,2,2,17,2,2,6,1.1376,1,1,2,2,2,2,2,2,2,3,3
1427,27/08/2020,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,6,4,4,4,3,4,4,4,3,2,1,3,3,4,4,2,2,2,1,2,2,2,1,2,2,2,2,1,2,4,59,2,2,2,2,2,1,1,7,2,2,1,0.451,2,2,2,2,1,1,2,2,2,1,1
1428,27/08/2020,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,3,6,1,2,2,3,1,4,4,2,1,2,2,2,1,3,1,1,2,2,2,2,2,1,1,2,2,2,2,2,9,7,46,2,2,2,2,2,2,1,13,1,2,1,1.8364,2,2,2,2,2,1,2,2,2,1,1
1429,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,6,6,4,4,4,4,4,4,4,4,2,1,2,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,24,2,1,1,1,1,2,1,11,1,2,6,2.8996,1,1,1,1,2,1,2,1,2,3,3
1430,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,6,6,3,2,2,1,3,2,3,2,2,1,4,4,4,4,2,2,2,1,2,2,1,1,2,2,2,2,1,2,3,35,2,1,2,1,2,1,1,15,2,2,6,0.5119,1,2,1,2,1,1,2,1,2,3,3
1431,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,6,6,4,4,3,2,4,3,4,3,2,1,4,4,5,5,1,2,2,2,2,2,2,1,1,1,2,2,1,2,3,35,2,1,2,1,2,1,1,15,2,2,6,0.5119,1,2,1,2,1,1,2,2,2,3,3
1432,27/08/2020,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,6,1,4,4,4,3,4,4,2,1,2,1,3,4,3,4,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,35,1,9,9,2,2,2,1,8,2,2,6,0.3588,9,9,2,2,2,1,2,3,2,1,2
1433,27/08/2020,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,6,2,4,4,4,3,4,4,4,4,2,2,2,3,3,4,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,48,1,2,2,2,2,2,1,9,1,2,1,1.2348,2,2,2,2,2,1,2,1,2,1,1
1434,27/08/2020,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,3,6,1,1,2,2,3,3,3,1,1,2,1,4,4,4,3,1,2,2,2,2,2,2,1,2,1,2,2,1,1,5,35,2,2,2,1,1,1,2,14,2,2,6,0.6004,2,2,1,1,1,2,2,2,2,2,2
1435,27/08/2020,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,6,2,2,2,4,4,4,4,4,4,2,2,3,3,3,3,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,35,2,1,2,2,1,1,1,10,2,2,1,0.3567,1,2,2,1,1,1,2,3,2,1,1
1436,27/08/2020,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,3,6,7,4,4,4,4,4,4,4,4,2,1,5,5,4,4,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,35,2,2,2,2,1,1,2,10,2,2,2,0.3567,2,2,2,1,1,2,2,3,2,1,1
1437,27/08/2020,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,3,6,1,1,9,1,1,1,1,1,1,2,1,5,5,2,3,2,2,2,1,2,2,2,2,2,1,2,2,1,9,9,24,2,2,1,1,1,1,1,11,1,1,6,2.8996,2,1,1,1,1,1,2,1,2,1,2
1438,27/08/2020,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,6,6,4,1,1,1,4,3,1,1,2,1,3,5,5,5,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,24,2,2,2,1,1,1,1,9,2,1,1,0.7916,2,2,1,1,1,1,2,3,2,1,1
1439,27/08/2020,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,3,6,1,4,4,4,4,4,4,4,4,2,2,4,5,3,4,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,35,2,2,2,2,1,1,2,6,2,2,6,0.5434,2,2,2,1,1,2,1,1,2,1,2
1440,27/08/2020,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,3,6,1,1,3,3,2,4,1,3,1,2,1,5,5,4,5,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,35,2,2,2,1,1,1,1,2,2,2,1,1.5578,2,2,1,1,1,1,1,3,2,1,1
1441,27/08/2020,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,6,6,4,4,4,4,4,4,4,4,2,2,4,3,4,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,24,1,2,2,2,2,2,1,4,1,1,1,3.0869,2,2,2,2,2,1,2,2,2,1,1
1442,27/08/2020,1,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,3,6,7,4,4,4,4,2,3,4,2,2,2,2,2,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,35,2,2,2,2,2,2,1,16,1,2,2,1.5036,2,2,2,2,2,1,2,2,2,1,1
1443,27/08/2020,9,9,9,9,9,9,9,9,9,2,2,2,1,1,2,2,2,2,2,2,3,6,1,4,3,3,1,1,2,1,2,2,1,4,4,4,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,35,2,2,2,1,2,1,1,16,2,2,6,0.5703,2,2,1,2,1,1,2,3,2,3,3
